"Time","Force","Position","Speed","Acceleration"
52.46,50,0.999993483799804,1.33275884673268e-06,2.60152386350877e-06
52.47,50,0.999993497256487,1.35857786423838e-06,2.58190175057034e-06
52.48,50,0.999993510970378,1.38420035154584e-06,2.56224873074503e-06
52.49,50,0.99999352493951,1.40962601092916e-06,2.54256593833245e-06
52.5,50,0.999993539161913,1.43485455596536e-06,2.52285450362086e-06
52.51,50,0.999993553635614,1.45988571148952e-06,2.50311555241634e-06
52.52,50,0.999993568358639,1.48471921355537e-06,2.48335020658383e-06
52.53,50,0.999993583329009,1.50935480938981e-06,2.46355958344412e-06
52.54,50,0.999993598544744,1.53379225735113e-06,2.44374479613298e-06
52.55,50,0.999993614003862,1.55803132688555e-06,2.42390695344017e-06
52.56,50,0.999993629704378,1.58207179848381e-06,2.40404715982636e-06
52.57,50,0.999993645644304,1.60591346363551e-06,2.38416651517047e-06
52.58,50,0.999993661821652,1.62955612478647e-06,2.36426611509637e-06
52.59,50,0.99999367823443,1.65299959529251e-06,2.34434705060326e-06
52.6,50,0.999993694880647,1.67624369937457e-06,2.32441040820662e-06
52.61,50,0.999993711758307,1.69928827207403e-06,2.3044572699464e-06
52.62,50,0.999993728865414,1.72213315920639e-06,2.28448871323454e-06
52.63,50,0.999993746199971,1.74477821731595e-06,2.26450581095633e-06
52.64,50,0.999993763759978,1.76722331362806e-06,2.24450963121138e-06
52.65,50,0.999993781543437,1.78946832600366e-06,2.22450123756053e-06
52.66,50,0.999993799548344,1.81151314289262e-06,2.20448168889522e-06
52.67,50,0.999993817772698,1.83335766328465e-06,2.18445203920316e-06
52.68,50,0.999993836214495,1.8550017966637e-06,2.16441333790582e-06
52.69,50,0.999993854871732,1.87644546295979e-06,2.14436662960943e-06
52.7,50,0.999993873742402,1.89768859250024e-06,2.1243129540441e-06
52.71,50,0.9999938928245,1.91873112596089e-06,2.10425334606515e-06
52.72,50,0.999993912116021,1.93957301431884e-06,2.08418883579558e-06
52.73,50,0.999993931614957,1.96021421880319e-06,2.06412044843354e-06
52.74,50,0.999993951319302,1.98065471084393e-06,2.04404920407495e-06
52.75,50,0.999993971227048,2.00089447202508e-06,2.02397611811458e-06
52.76,50,0.999993991336188,2.02093349403456e-06,2.00390220094904e-06
52.77,50,0.999994011644714,2.04077177861195e-06,1.98382845773764e-06
